id_test1,id_test2,pos_test1,pos_test2,diff_pos,cos_sim
2755,506,t18,t20,2,0.3967687741829875
2755,2959,t18,t21,3,-0.03520995133973138
2755,509,t18,t22,4,0.07119426921978614
2755,2960,t18,t23,5,-0.22270951532427732
2755,2955,t18,t24,6,-0.2573050164772905
2755,2958,t18,t25,7,0.058746957752164375
2755,511,t18,t26,8,0.02259101329980699
2755,1128,t18,t27,9,-0.04990384096470547
2755,4821,t18,t28,10,-0.056427835375255295
2755,2957,t18,t29,11,0.02623073180967268
2755,2961,t18,t30,12,-0.03147981567936908
2755,2962,t18,t31,13,-0.013040943189335076
2755,512,t18,t32,14,-0.4321742662603645
2755,2956,t18,t33,15,0.07680944436563349
2755,2963,t18,t34,16,-0.06945895757943903
2755,2752,t18,t35,17,-0.18926933956162367
2757,506,t19,t20,1,0.9758935025978385
2757,2959,t19,t21,2,0.6343902574054036
2757,509,t19,t22,3,0.8238880328918691
2757,2960,t19,t23,4,0.5393735347686016
2757,2955,t19,t24,5,0.5011312000568625
2757,2958,t19,t25,6,0.7717370631999326
2757,511,t19,t26,7,0.7727495400943019
2757,1128,t19,t27,8,0.70060339057011
2757,4821,t19,t28,9,0.6394093597425548
2757,2957,t19,t29,10,0.7173882068494104
2757,2961,t19,t30,11,0.6639276577253116
2757,2962,t19,t31,12,0.6655736838628884
2757,512,t19,t32,13,0.36504676735992175
2757,2956,t19,t33,14,0.7592970816840051
2757,2963,t19,t34,15,0.6559719332410847
2757,2752,t19,t35,16,0.5911302667976983
506,2959,t20,t21,1,0.7317253555028336
506,509,t20,t22,2,0.8849512059708549
506,2960,t20,t23,3,0.6465925347832066
506,2955,t20,t24,4,0.6076083812049461
506,2958,t20,t25,5,0.8242799620248753
506,511,t20,t26,6,0.8292034232427753
506,1128,t20,t27,7,0.7491130483413077
506,4821,t20,t28,8,0.7280919507186069
506,2957,t20,t29,9,0.7660923563644474
506,2961,t20,t30,10,0.7485930159584153
506,2962,t20,t31,11,0.7452462121511919
506,512,t20,t32,12,0.44407530381485394
506,2956,t20,t33,13,0.8192224504882039
506,2963,t20,t34,14,0.742974406492214
506,2752,t20,t35,15,0.6654922920760927
2959,509,t21,t22,1,0.8294342182710117
2959,2960,t21,t23,2,0.9678024724871789
2959,2955,t21,t24,3,0.9516993390592425
2959,2958,t21,t25,4,0.7362122168595392
2959,511,t21,t26,5,0.7934913325338018
2959,1128,t21,t27,6,0.7011027147540604
2959,4821,t21,t28,7,0.646337871122085
2959,2957,t21,t29,8,0.7191772024330254
2959,2961,t21,t30,9,0.7804597089857922
2959,2962,t21,t31,10,0.7783901293496495
2959,512,t21,t32,11,0.6615517473364059
2959,2956,t21,t33,12,0.7553627118416668
2959,2963,t21,t34,13,0.7478555866778029
2959,2752,t21,t35,14,0.7088858121693502
509,2960,t22,t23,1,0.8039154743295813
509,2955,t22,t24,2,0.80009280655834
509,2958,t22,t25,3,0.9354310700530027
509,511,t22,t26,4,0.9894396113142148
509,1128,t22,t27,5,0.9139814776713496
509,4821,t22,t28,6,0.8371329980484146
509,2957,t22,t29,7,0.9038485666407757
509,2961,t22,t30,8,0.8173209140553136
509,2962,t22,t31,9,0.8375233456174418
509,512,t22,t32,10,0.7226363986223623
509,2956,t22,t33,11,0.8685996234746399
509,2963,t22,t34,12,0.8645423600235224
509,2752,t22,t35,13,0.8203930685212445
2960,2955,t23,t24,1,0.992033404670384
2960,2958,t23,t25,2,0.7087691210344517
2960,511,t23,t26,3,0.7826314597151682
2960,1128,t23,t27,4,0.6987978928880656
2960,4821,t23,t28,5,0.682685881496923
2960,2957,t23,t29,6,0.7181708167992825
2960,2961,t23,t30,7,0.7906312816525469
2960,2962,t23,t31,8,0.7750606202352204
2960,512,t23,t32,9,0.767971688421559
2960,2956,t23,t33,10,0.7510839989367502
2960,2963,t23,t34,11,0.7762305220579511
2960,2752,t23,t35,12,0.7942737920660585
2955,2958,t24,t25,1,0.7052945353240522
2955,511,t24,t26,2,0.7858003175791589
2955,1128,t24,t27,3,0.7086656432410502
2955,4821,t24,t28,4,0.6812019801169985
2955,2957,t24,t29,5,0.7304854854872112
2955,2961,t24,t30,6,0.7739275123201544
2955,2962,t24,t31,7,0.7591377685388558
2955,512,t24,t32,8,0.7831013144118723
2955,2956,t24,t33,9,0.7470752160912126
2955,2963,t24,t34,10,0.7798580494615868
2955,2752,t24,t35,11,0.7973303155574395
2958,511,t25,t26,1,0.9310734210734468
2958,1128,t25,t27,2,0.9786464780710606
2958,4821,t25,t28,3,0.7306817837624578
2958,2957,t25,t29,4,0.9728133637301268
2958,2961,t25,t30,5,0.8486184900189883
2958,2962,t25,t31,6,0.8803462578354929
2958,512,t25,t32,7,0.699601606149279
2958,2956,t25,t33,8,0.9159616825322922
2958,2963,t25,t34,9,0.9104567222380338
2958,2752,t25,t35,10,0.7943711024246572
511,1128,t26,t27,1,0.9249900069251898
511,4821,t26,t28,2,0.8223801277500692
511,2957,t26,t29,3,0.9023678133837392
511,2961,t26,t30,4,0.7931762067879894
511,2962,t26,t31,5,0.8291984125836395
511,512,t26,t32,6,0.7641496675058453
511,2956,t26,t33,7,0.8371650893381996
511,2963,t26,t34,8,0.8480312353910266
511,2752,t26,t35,9,0.8173550394707696
1128,4821,t27,t28,1,0.7121107587838795
1128,2957,t27,t29,2,0.9634428888748798
1128,2961,t27,t30,3,0.8225963016480928
1128,2962,t27,t31,4,0.8600447575495876
1128,512,t27,t32,5,0.7348114705358597
1128,2956,t27,t33,6,0.8904649024505837
1128,2963,t27,t34,7,0.8997916695698394
1128,2752,t27,t35,8,0.7837990065470908
4821,2957,t28,t29,1,0.7115283000566612
4821,2961,t28,t30,2,0.7456751964110309
4821,2962,t28,t31,3,0.7079622645670548
4821,512,t28,t32,4,0.6688360882850078
4821,2956,t28,t33,5,0.7390070381291343
4821,2963,t28,t34,6,0.7940855086474764
4821,2752,t28,t35,7,0.8290356504697081
2957,2961,t29,t30,1,0.839352860238452
2957,2962,t29,t31,2,0.8606835926279666
2957,512,t29,t32,3,0.7217279785659051
2957,2956,t29,t33,4,0.9267809418650794
2957,2963,t29,t34,5,0.9287170006951486
2957,2752,t29,t35,6,0.8302098257661751
2961,2962,t30,t31,1,0.9793488522119631
2961,512,t30,t32,2,0.7803995242549717
2961,2956,t30,t33,3,0.9005225026863014
2961,2963,t30,t34,4,0.9140651814940652
2961,2752,t30,t35,5,0.8289916946652386
2962,512,t31,t32,1,0.7969534482788113
2962,2956,t31,t33,2,0.8747825226697621
2962,2963,t31,t34,3,0.8898268988325753
2962,2752,t31,t35,4,0.7756113502731512
512,2956,t32,t33,1,0.6411345903536021
512,2963,t32,t34,2,0.7311791380324817
512,2752,t32,t35,3,0.8275061210270361
2956,2963,t33,t34,1,0.9742721362707301
2956,2752,t33,t35,2,0.8620473951211068
2963,2752,t34,t35,1,0.9056787622588656
